HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.index,Input.text,Input.Annotation,Answer.sentiment.label,Approve,Reject,annotation=gold_HITS_annotation,ACCURACY
3D06DR52257XEDID1VJ1IX19Q62AMC,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:30 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:30 PDT 2019,,,3R2PKQ87NXWF7FY53LGFNFL8AQJIMW,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:18:59 PDT 2019,Fri Apr 12 17:19:04 PDT 2019,Mon Apr 15 17:19:04 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,430,Anthony - I recommend you read this before making up your mind! https://t.co/7pb07Mum0B https://t.co/YKoS9VAJ54,,Neither,,,,1
3DA79LNS59J17N9C1D53H3IVE463TA,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:36 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:36 PDT 2019,,,3A4NIXBJ77NHXG6BOODSFVD0RUDLMD,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:18:49 PDT 2019,Fri Apr 12 17:18:58 PDT 2019,Mon Apr 15 17:18:58 PDT 2019,,,,9,100% (124/124),100% (124/124),100% (124/124),1.12E+18,156,"RT @utmbnews: Middle East respiratory syndrome, or MERS, can cause fatal respiratory symptoms, systemic infection, multi-organ failure, and…",,Neither,,,,
3QREJ3J433LJK89EDAVBCYPGVD6LK0,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:09:50 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:09:50 PDT 2019,,,39LNWE0K4VKYKN3ECN71EP22NCMIUO,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:25:59 PDT 2019,Fri Apr 12 17:26:03 PDT 2019,Mon Apr 15 17:26:03 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,502,RT @SwedeninMZ: Cholera is a water-borne disease that causes almost 100 000 deaths every year – the poor are hit the hardest. Sweden @Sida…,neither,Neither,,,TRUE,
3SX4X51T80XLEG3PEBYEA1QEL6HAOR,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,31LM9EDVOMGHK83BX4GFCVP8SVINJD,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:16:04 PDT 2019,Fri Apr 12 17:16:48 PDT 2019,Mon Apr 15 17:16:48 PDT 2019,,,,44,100% (124/124),100% (124/124),100% (124/124),1.12E+18,210,@realslimsheyla @gorskon @RyanMarino I appreciate that you referred to them as autism eugenecists because I have long felt that to be the greatest flaw of anti-vaccine advocacy that is left all too often unaddressed by those opposed to their pseudoscience bullshit.,,Pro-vaccine,,,,
39HYCOOPKO9VCKLPL5A38Y9FB9ZDMH,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,3C44YUNSI2D4K7FW3N7WDMZQNQMDPL,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:19:55 PDT 2019,Fri Apr 12 17:19:59 PDT 2019,Mon Apr 15 17:19:59 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,211,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,Pro-vaccine,,,,
37SDSEDIN9QMZ039BBGP2E7B27781Y,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,3PJUZCGDJ747BP3Y5Q0J54LA7V798G,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:06:48 PDT 2019,Fri Apr 12 17:07:10 PDT 2019,Mon Apr 15 17:07:10 PDT 2019,,,,22,100% (124/124),100% (124/124),100% (124/124),1.12E+18,194,@dpmlawfirm “The best scientific study inadvertently conducted on herd immunity and vaccine shedding in the last 223 years. All 700 sailors vaccinated and there’s a mumps outbreak.  Oooops!” https://t.co/iyKaAcud9K,,Anti-vaccine,,,,
3K3IX1W4S6F3ZGFQTBBTZ1V4VBDAP8,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:59 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:59 PDT 2019,,,3HRMW88U17E40KHPZVR9HBLCOW2M05,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:26:30 PDT 2019,Fri Apr 12 17:26:41 PDT 2019,Mon Apr 15 17:26:41 PDT 2019,,,,11,100% (124/124),100% (124/124),100% (124/124),1.12E+18,236,"RT @MarchofDimes: ""Protecting our children from vaccine-preventable diseases is a collective responsibility. But if we all come together in…",,Pro-vaccine,,,,
3VMHWJRYHV434GYPQI727FSYUQZFXE,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:02 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:02 PDT 2019,,,3IGI0VL6488VLJU8DH8KKR6URPSNOW,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:21:23 PDT 2019,Fri Apr 12 17:21:34 PDT 2019,Mon Apr 15 17:21:34 PDT 2019,,,,11,100% (124/124),100% (124/124),100% (124/124),1.12E+18,244,RT @DrJenGunter: I am so tired of hearing how influenza isn’t a “big deal” from anti vaccine forces. Personal stories can sway opinion. If…,,Pro-vaccine,,,,
3JMQI2OLFZT1U26PX6P3LDYFGZ9DNH,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:13 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:13 PDT 2019,,,3SB5N7Y3O4S48AL3OSTE461FSAQG0R,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:04:23 PDT 2019,Fri Apr 12 17:04:29 PDT 2019,Mon Apr 15 17:04:29 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,13,"@HLN_BE @Maggie_DeBlock, de orde van geneesheren en NVA'er Louis Ide trekken dus liever de kaart van repressie dan die van de wetenschap. Want Gaublomme is niet de enige die het nut van vaccinatie tegen mazelen in twijfel trekt. https://t.co/R69AvyOqDw",,Neither,,,,
3TC2K6WK9GQTOLL5UFG37XHGUDL82F,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:13 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:13 PDT 2019,,,3KKG4CDWKJM6SOGWTNA6OS5559B949,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:04:05 PDT 2019,Fri Apr 12 17:04:11 PDT 2019,Mon Apr 15 17:04:11 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,594,@doctorsensation a social scientist researching vaccine safety. just what the world needed.,anti-vaccine,Anti-vaccine,,,TRUE,
3YZ7A3YHR5H362J1QWO6MVKTQHJ5SD,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:18 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:18 PDT 2019,,,31HQ4X3T3TYKVBJG8L9ER4C6JJVLSP,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:21:44 PDT 2019,Fri Apr 12 17:21:50 PDT 2019,Mon Apr 15 17:21:50 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,14,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",,Pro-vaccine,,,,
3J5XXLQDHMZGKFD1685IIL6GBPM3VQ,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:26 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:26 PDT 2019,,,3MRNMEIQW6UETM0YBVEPW5Q6IGLLDV,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:13:12 PDT 2019,Fri Apr 12 17:13:21 PDT 2019,Mon Apr 15 17:13:21 PDT 2019,,,,9,100% (124/124),100% (124/124),100% (124/124),1.12E+18,318,RT @nypost: How young is too young for the measles vaccine? https://t.co/GxtG7XjoXz https://t.co/Sg5kQ9WQU2,,Pro-vaccine,,,,
3D42WVSDH8JS4LOZVET4QTZ7WWTFYK,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:18 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:18 PDT 2019,,,3DI28L7YXB26VLAUEG7QI8ZDKMHE1B,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:27:57 PDT 2019,Fri Apr 12 17:28:03 PDT 2019,Mon Apr 15 17:28:03 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,352,RT @24BethAnn: @tannersdad @ceestave @vialnews Listening to United Voices: Sherrie Saunders talks about how in the Past the NIH &amp; the CDC c…,,Neither,,,,
3OEWW2KGQJZJCN61YLPG02YK69EDOW,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:26 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:26 PDT 2019,,,32N49TQG3H6JRK9G5PPTTDG2OBQAV1,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:11:24 PDT 2019,Fri Apr 12 17:11:45 PDT 2019,Mon Apr 15 17:11:45 PDT 2019,,,,21,100% (124/124),100% (124/124),100% (124/124),1.12E+18,195,"@HHSGov @Surgeon_General How about the 9000+ cases of mumps and the two whistle blower scientists at Merck that said Merck committed efficacy fraud to get the Govt contract?  We need trust back in our vaccine program, ASAP!",,Anti-vaccine,,,,
3UUIU9GZC5T4L2WGFWTWW0GFS0X5T2,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:26 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:26 PDT 2019,,,3ND9UOO81LQD2S0PSQJFOTFRPWRLW4,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:23:47 PDT 2019,Fri Apr 12 17:24:04 PDT 2019,Mon Apr 15 17:24:04 PDT 2019,,,,17,100% (124/124),100% (124/124),100% (124/124),1.12E+18,497,"RT @Wallace_Noll: @DoctorChristian in America data was collected from 8 million women, some who took the vaccine, some who did not, married…",,Neither,,,,
3GKAWYFRAPH1XNI2DL2VP23AGEADPD,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:27 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:27 PDT 2019,,,3SBEHTYCWORF1WNJMO4QHA8FJ0XIYM,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:28:45 PDT 2019,Fri Apr 12 17:28:58 PDT 2019,Mon Apr 15 17:28:58 PDT 2019,,,,13,100% (124/124),100% (124/124),100% (124/124),1.12E+18,440,"RT @WHO: #ThrowbackThursday to 1980, when global vaccine coverage for #measles was at just 17%.  Today more than 8 in 10 children receive a…",,Pro-vaccine,,,,
3P520RYKCHUJLFB5F1J61W2HBE45UT,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:30 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:30 PDT 2019,,,36ZN444YTSM37IJHG1VSFJAD5QYIOB,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:21:35 PDT 2019,Fri Apr 12 17:21:39 PDT 2019,Mon Apr 15 17:21:39 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,547,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",pro-vaccine,Pro-vaccine,,,TRUE,
3UL5XDRDNC7LNI4SCYI154KSENC85G,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:30 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:30 PDT 2019,,,3F6KKYWMNCP4HM3JN8U49XUVNBLNDZ,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:12:45 PDT 2019,Fri Apr 12 17:12:54 PDT 2019,Mon Apr 15 17:12:54 PDT 2019,,,,9,100% (124/124),100% (124/124),100% (124/124),1.12E+18,567,RT @StabellBenn: A very nice and nuances article about non-specific effects of vaccines #NSEvac - where I explain why I have entered the pu…,neither,Neither,,,TRUE,
39WICJI5ATGXTZIB75UL3RJCZ0S3ZQ,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:44 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:44 PDT 2019,,,3OWEPKL08A0O0D29WVRI95KZ10IN76,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:08:13 PDT 2019,Fri Apr 12 17:08:25 PDT 2019,Mon Apr 15 17:08:25 PDT 2019,,,,12,100% (124/124),100% (124/124),100% (124/124),1.12E+18,268,"RT @GaviSeth: Today is the anniversary of the death of Maurice Hilleman, the American biologist who developed over 40 vaccines. We have him…",,Neither,,,,
356TQKY9XFL0AMIB0RXY3OYO5T787V,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:47 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:47 PDT 2019,,,386PBUZZXGLRW80QLR00Z3LJN0ILJ9,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:17:31 PDT 2019,Fri Apr 12 17:17:36 PDT 2019,Mon Apr 15 17:17:36 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,212,RT @Wallace_Noll: @DoctorChristian YouTube is filled with testimonies from young women who've been rendered permanently ill by this vaccine…,,Anti-vaccine,,,,
3X2LT8FDHW6F01JC8Z5AV4X5YKGW8L,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:10:28 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:10:28 PDT 2019,,,36AHBNMV1S0YTL7XUA3FQDS2RVPDYF,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:25:13 PDT 2019,Fri Apr 12 17:25:20 PDT 2019,Mon Apr 15 17:25:20 PDT 2019,,,,7,100% (124/124),100% (124/124),100% (124/124),1.12E+18,483,Thanks to Ducis  Rodgers and Dave Genova with his friend Mr Vaccine from the Dept of Health for reading to our students @Rupertelem on DEAR Day @pottstownschool @PSDRODRIGUEZ @DavidGenova33 @duciswild @PottstownNews @thesanatogapost @AmyBFrancis https://t.co/0v8d675ai4,,Neither,,,,
3EKTG13IZUREAW9HYM8RRBHKKI1LM5,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:10:28 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:10:28 PDT 2019,,,3LO69W1SU41H56APDLFX2QT3V81GL0,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:25:53 PDT 2019,Fri Apr 12 17:25:58 PDT 2019,Mon Apr 15 17:25:58 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,592,@dpmlawfirm I’m so happy to see an attorney speaking up for the vaccine injured! May God richly bless you sir!!,anti-vaccine,Anti-vaccine,,,TRUE,
3KVQ0UJWPX9WDJ0AA1Y7JKNEWUF5WS,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:48 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:48 PDT 2019,,,3R0T90IZ1T0O22GJ08MYZ73G1ZNGCK,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:17:20 PDT 2019,Fri Apr 12 17:17:25 PDT 2019,Mon Apr 15 17:17:25 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,16,"@jonathanstea @CaulfieldTim @cometeclipse I'll correct your sentence for you:  ""Smart parents do their homework and choose safe vaccinations that have strict 3rd party oversight &amp; testing with transparent results to eliminate vaccine injury and provide support to anyone who may be negatively impacted by their products."" https://t.co/SqZRXyc3Px",,Pro-vaccine,,,,
308KJXFUJRU1R88XASKD4BW1KEYATD,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:54 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:54 PDT 2019,,,3U0SRXB7CETYIWMO59POEMBZ2CCNR5,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:23:36 PDT 2019,Fri Apr 12 17:23:40 PDT 2019,Mon Apr 15 17:23:40 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,458,@MedscapeOnc https://t.co/3Z2EJ7cdEm,,Neither,,,,
30Y6N4AHYPKM90YHQD6KUX3PHWYDR5,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:00:00 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:00:00 PDT 2019,,,34J10VATJGM6SUWXVENW4O5DKRGIQJ,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:23:03 PDT 2019,Fri Apr 12 17:23:08 PDT 2019,Mon Apr 15 17:23:08 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,185,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,Pro-vaccine,,,,
3QGTX7BCHPQ07E5FLOIEIOHWDWJ5ZI,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:00:05 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:00:05 PDT 2019,,,3QAVNHZ3ENSGVFXMRLNN64I0XDOALI,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:07:25 PDT 2019,Fri Apr 12 17:07:34 PDT 2019,Mon Apr 15 17:07:34 PDT 2019,,,,9,100% (124/124),100% (124/124),100% (124/124),1.12E+18,362,National shortage of school nurses complicates surge in students' health problems from allergies to suicide https://t.co/MMSMGCBGj1 via @usatoday,,Neither,,,,
3APP19WN712WZ1AO0F4UPNFQY10G6K,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:00:18 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:00:18 PDT 2019,,,3E337GFOLAW7T6DAPYVCFIXS031GN2,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:27:19 PDT 2019,Fri Apr 12 17:27:23 PDT 2019,Mon Apr 15 17:27:23 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,248,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,Pro-vaccine,,,,
